profil,stok,id,komponen,panjang_mm,status
RHS50x100,112,SC-L1-G0,I02,317.0,studi - belum fabrikasi
RHS50x100,113,I5-J4,I03,1400.0378,studi - belum fabrikasi
RHS50x100,113,SC-R3-P11,I01,1146.0,studi - belum fabrikasi
RHS50x100,113,1690268,B01,874.0,studi - belum fabrikasi
RHS50x100,113,1690270,B01,874.0,studi - belum fabrikasi
RHS50x100,113,1690272,B01,874.0,studi - belum fabrikasi
RHS50x100,113,I2-P01,I01,785,studi - belum fabrikasi
RHS50x100,114,1690274,B01,874.0,studi - belum fabrikasi
RHS50x100,114,1690276,B01,874.0,studi - belum fabrikasi
RHS50x100,114,1690278,B01,874.0,studi - belum fabrikasi
RHS50x100,114,1690280,B01,874.0,studi - belum fabrikasi
RHS50x100,114,1690282,B01,874.0,studi - belum fabrikasi
RHS50x100,114,1690284,B01,874.0,studi - belum fabrikasi
RHS50x100,114,SC-R2-P01,I01,646.0,studi - belum fabrikasi
RHS50x100,115,1690286,B01,874.0,studi - belum fabrikasi
RHS50x100,115,1690288,B01,874.0,studi - belum fabrikasi
RHS50x100,115,1690290,B01,874.0,studi - belum fabrikasi
RHS50x100,115,1690292,B01,874.0,studi - belum fabrikasi
RHS50x100,115,1690294,B01,874.0,studi - belum fabrikasi
RHS50x100,115,1690296,B01,874.0,studi - belum fabrikasi
RHS50x100,115,SC-R2-P10,I01,646.0,studi - belum fabrikasi
RHS50x100,116,1690298,B01,874.0,studi - belum fabrikasi
RHS50x100,116,1690300,B01,874.0,studi - belum fabrikasi
RHS50x100,116,1690302,B01,874.0,studi - belum fabrikasi
RHS50x100,116,1690304,B01,874.0,studi - belum fabrikasi
RHS50x100,116,1690306,B01,874.0,studi - belum fabrikasi
RHS50x100,116,1690308,B01,874.0,studi - belum fabrikasi
RHS50x100,116,SC-R2-P11,I01,646.0,studi - belum fabrikasi
RHS50x100,117,1690310,B01,874.0,studi - belum fabrikasi
RHS50x100,117,1690312,B01,874.0,studi - belum fabrikasi
RHS50x100,117,1690314,B01,874.0,studi - belum fabrikasi
RHS50x100,117,1690316,B01,874.0,studi - belum fabrikasi
RHS50x100,117,1690318,B01,874.0,studi - belum fabrikasi
RHS50x100,117,1690320,B01,874.0,studi - belum fabrikasi
RHS50x100,117,SC-L2-BY0,X06,632.2167,studi - belum fabrikasi
RHS50x100,118,1690322,B01,874.0,studi - belum fabrikasi
RHS50x100,118,1690324,B01,874.0,studi - belum fabrikasi
RHS50x100,118,1690326,B01,874.0,studi - belum fabrikasi
RHS50x100,118,1690328,B01,874.0,studi - belum fabrikasi
RHS50x100,118,1690330,B01,874.0,studi - belum fabrikasi
RHS50x100,118,1690332,B01,874.0,studi - belum fabrikasi
RHS50x100,118,SC-L2-BY1,X06,632.2167,studi - belum fabrikasi
RHS50x100,119,1690334,B01,874.0,studi - belum fabrikasi
RHS50x100,119,1690336,B01,874.0,studi - belum fabrikasi
RHS50x100,119,1690338,B01,874.0,studi - belum fabrikasi
RHS50x100,119,1690340,B01,874.0,studi - belum fabrikasi
RHS50x100,119,1690342,B01,874.0,studi - belum fabrikasi
RHS50x100,119,1690344,B01,874.0,studi - belum fabrikasi
RHS50x100,119,SC-R2-BY0,X06,632.2167,studi - belum fabrikasi
RHS50x100,120,1690346,B01,874.0,studi - belum fabrikasi
RHS50x100,120,1690348,B01,874.0,studi - belum fabrikasi
RHS50x100,120,1690350,B01,874.0,studi - belum fabrikasi
RHS50x100,120,1690352,B01,874.0,studi - belum fabrikasi
RHS50x100,120,1690354,B01,874.0,studi - belum fabrikasi
RHS50x100,120,1690356,B01,874.0,studi - belum fabrikasi
RHS50x100,120,SC-R2-BY1,X06,632.2167,studi - belum fabrikasi
RHS50x100,121,1690364,B01,874.0,studi - belum fabrikasi
RHS50x100,121,I2-P10,I01,785,studi - belum fabrikasi
RHS50x100,121,I2-P11,I01,785,studi - belum fabrikasi
RHS50x100,121,SC-R2-BX1,X06,741.0864,studi - belum fabrikasi
RHS50x100,121,SC-L1-H0,I02,600.0,studi - belum fabrikasi
RHS50x100,121,SC-L1-H1,I02,600.0,studi - belum fabrikasi
RHS50x100,121,SC-R1-H0,I02,600.0,studi - belum fabrikasi
RHS50x100,121,SC-R1-H1,I02,600.0,studi - belum fabrikasi
RHS50x100,121,SC-L1-G1,I02,317.0,studi - belum fabrikasi
RHS50x100,122,SC-L2-H0,I02,600.0,studi - belum fabrikasi
RHS50x100,122,SC-L2-H1,I02,600.0,studi - belum fabrikasi
RHS50x100,122,SC-R2-H0,I02,600.0,studi - belum fabrikasi
RHS50x100,122,SC-R2-H1,I02,600.0,studi - belum fabrikasi
RHS50x100,122,SC-L3-H0,I02,600.0,studi - belum fabrikasi
RHS50x100,122,SC-L3-H1,I02,600.0,studi - belum fabrikasi
RHS50x100,122,SC-R3-H0,I02,600.0,studi - belum fabrikasi
RHS50x100,122,SC-R3-H1,I02,600.0,studi - belum fabrikasi
RHS50x100,122,SC-L4-H0,I02,600.0,studi - belum fabrikasi
RHS50x100,122,1682288,X01,482.0119,studi - belum fabrikasi
RHS50x100,123,SC-L4-H1,I02,600.0,studi - belum fabrikasi
RHS50x100,123,SC-R4-H0,I02,600.0,studi - belum fabrikasi
RHS50x100,123,SC-R4-H1,I02,600.0,studi - belum fabrikasi
RHS50x100,123,SC-L5-H0,I02,600.0,studi - belum fabrikasi
RHS50x100,123,SC-L5-H1,I02,600.0,studi - belum fabrikasi
RHS50x100,123,SC-R5-H0,I02,600.0,studi - belum fabrikasi
RHS50x100,123,SC-R5-H1,I02,600.0,studi - belum fabrikasi
RHS50x100,123,1690193,X01,482.0119,studi - belum fabrikasi
RHS50x100,123,1685510S0,B02,460.5879,studi - belum fabrikasi
RHS50x100,123,1685510S1,B02,460.5879,studi - belum fabrikasi
RHS50x100,123,SC-R1-G0,I02,317.0,studi - belum fabrikasi
RHS50x100,124,1685625S0,B02,460.5879,studi - belum fabrikasi
RHS50x100,124,1685625S1,B02,460.5879,studi - belum fabrikasi
RHS50x100,124,1685895S0,B02,460.5879,studi - belum fabrikasi
RHS50x100,124,1685895S1,B02,460.5879,studi - belum fabrikasi
RHS50x100,124,1686006S0,B02,460.5879,studi - belum fabrikasi
RHS50x100,124,1686006S1,B02,460.5879,studi - belum fabrikasi
RHS50x100,124,1685665S0,B02,460.5879,studi - belum fabrikasi
RHS50x100,124,1685665S1,B02,460.5879,studi - belum fabrikasi
RHS50x100,124,1686043S0,B02,460.5879,studi - belum fabrikasi
RHS50x100,124,1686043S1,B02,460.5879,studi - belum fabrikasi
